2016030004	5	高等数学A（I）	5.5	55	0	线性代数	3.5	89	3.67	大学英语C	4	70	2	大学计算机基础	1.5	88	3.67	中国近现代史纲要	2	88	3.67	2.042				
2016030005	5	高等数学A（I）	5.5	76	2.67	线性代数	3.5	76	2.67	大学英语C	4	76	2.67	大学计算机基础	1.5	76	2.67	中国近现代史纲要	2	76	2.67	2.67				
2016030006	5	高等数学A（I）	5.5	61	1.33	线性代数	3.5	61	1.33	大学英语C	4	61	1.33	大学计算机基础	1.5	80	3	中国近现代史纲要	2	80	3	1.68				
2016030007	5	高等数学A（I）	5.5	39	0	线性代数	3.5	60	1	大学英语C	4	93	4	大学计算机基础	1.5	93	4	中国近现代史纲要	2	93	4	2.03				
2016020037	5	高等数学A（I）	5.5	90	4	线性代数	3.5	90	4	大学英语C	4	90	4	大学计算机基础	1.5	90	4	中国近现代史纲要	2	90	4	4				
2016020038	5	高等数学A（I）	5.5	92	4	线性代数	3.5	82	3.33	大学英语C	4	92	4	大学计算机基础	1.5	92	4	中国近现代史纲要	2	92	4	3.86				
2016020039	5	高等数学A（I）	5.5	22	0	线性代数	3.5	22	0	大学英语C	4	82	3.33	大学计算机基础	1.5	82	3.33	中国近现代史纲要	2	82	3.33	1.51				
2016020040	5	高等数学A（I）	5.5	24	0	线性代数	3.5	84	3.33	大学英语C	4	77	2.67	大学计算机基础	1.5	77	2.67	中国近现代史纲要	2	77	2.67	1.92				
2016020041	5	高等数学A（I）	5.5	66	1.67	线性代数	3.5	66	1.67	大学英语C	4	66	1.67	大学计算机基础	1.5	86	3.67	中国近现代史纲要	2	86	3.67	2.09				
2016020042	5	高等数学A（I）	5.5	22	0	线性代数	3.5	22	0	大学英语C	4	78	3	大学计算机基础	1.5	78	3	中国近现代史纲要	2	78	3	1.36				
2016020043	5	高等数学A（I）	5.5	19	0	线性代数	3.5	55	0	大学英语C	4	91	4	大学计算机基础	1.5	91	4	中国近现代史纲要	2	91	4	1.82				
2017040097	6	高等数学A（I）	5.5	77	2.67	线性代数	3.5	77	2.67	大学英语C	4	77	2.67	大学计算机基础	1.5	77	2.67	中国近现代史纲要	2	77	2.67	工程制图	2	89	3.67	2.79
2017040098	6	高等数学A（I）	5.5	77	2.67	线性代数	3.5	77	2.67	大学英语B	4	77	2.67	大学计算机基础	1.5	77	2.67	中国近现代史纲要	2	77	2.67	工程制图	2	77	2.67	2.67
2017040099	6	高等数学A（I）	5.5	89	3.67	线性代数	3.5	89	3.67	大学英语C	4	89	3.67	大学计算机基础	1.5	89	3.67	中国近现代史纲要	2	89	3.67	工程制图	2	92	4	3.71
2017040100	6	高等数学A（I）	5.5	-100	0	线性代数	3.5	-1000	0	大学英语D	4	-100	0	大学计算机基础	1.5	-1000	0	中国近现代史纲要	2	-100	0	工程制图	2	-1000	0	0
2017000000	6	高等数学A（I）	5.5	95	4.33	线性代数	3.5	98	4.33	大学英语B	4	95	4.33	大学计算机基础	1.5	95	4.33	中国近现代史纲要	2	95	4.33	工程制图	2	95	4.33	4.33
1	1	1	1	92	4	4	4	
